site,lat_dd,lon_dd,burn_depth
BM30,61.22593,-163.20319,14.85760
BM31,61.22600,-163.20309,15.65760
BD29,61.22612,-163.20302,14.43540
BM28,61.22614,-163.19987,12.09688
BM29,61.22614,-163.20062,14.80522
BD28,61.22619,-163.19798,16.75488
BM27,61.22624,-163.19807,8.45522
BD27,61.22628,-163.19803,10.58256
BM32,61.22630,-163.20279,13.97188
BM26,61.22631,-163.19849,8.75188
BM33,61.22633,-163.20224,8.85188
BD26,61.22637,-163.19806,9.57631
BM36,61.25916,-163.23854,8.67188
BD32,61.25926,-163.23854,13.67631
BM35,61.25933,-163.23891,11.13855
BD31,61.25936,-163.23912,7.52631
BD30,61.25939,-163.23923,8.68631
BM34,61.25949,-163.23923,11.31474
BD33,61.25985,-163.23976,7.02631
BM23,61.26378,-163.25696,9.07188
BD23,61.26381,-163.25708,5.36631
BM24,61.26381,-163.25691,5.12188
BD24,61.26397,-163.25710,3.55488
BM25,61.26400,-163.25713,5.54688
BD25,61.26411,-163.25742,7.35488
BD1,61.26418,-163.24937,6.10488
BM2,61.26434,-163.24959,15.41474
BM1,61.26452,-163.24950,10.84331
BD2,61.26457,-163.24841,14.52076
BD3,61.26459,-163.24919,12.05965
BM3,61.26468,-163.24982,15.98617
BD4,61.26473,-163.24979,13.18345
BD7,61.26514,-163.25024,11.32631
BD57,61.26516,-163.24823,5.92631
BD8,61.26518,-163.24986,10.66631
BD9,61.26518,-163.25076,10.02631
BD56,61.26530,-163.24841,12.78256
BM4,61.26530,-163.25005,9.84688
BM7,61.26535,-163.25676,4.65188
BM5,61.26540,-163.24991,13.47188
BM6,61.26541,-163.25676,6.03188
BD55,61.26546,-163.24835,3.43881
BD6,61.26546,-163.25031,9.68631
BD5,61.26559,-163.25044,11.88631
BD54,61.26571,-163.24831,7.18631
BM53,61.26582,-163.24805,5.83188
BM55,61.26583,-163.24850,8.02466
BM54,61.26585,-163.24844,8.09188
BD53,61.26592,-163.24820,6.55965
BM10,61.26613,-163.25011,10.15760
BD10,61.26615,-163.25024,9.72631
BM9,61.26616,-163.25011,12.10938
BM11,61.26640,-163.25079,11.58617
BD11,61.26644,-163.25085,11.64298
BM12,61.26662,-163.25113,7.22188
BD16,61.26683,-163.24933,6.41520
BD12,61.26693,-163.25101,10.81203
BM18,61.26693,-163.24879,13.70046
BM19,61.26693,-163.24925,9.25522
BD15,61.26696,-163.24893,11.24449
BD14,61.26709,-163.25159,7.30131
BM13,61.26711,-163.25131,12.12188
BM15,61.26717,-163.25150,8.55188
BM17,61.26718,-163.24875,8.06438
BD13,61.26724,-163.25121,14.00631
BM14,61.26731,-163.25111,6.67188
BM16,61.26738,-163.24887,9.73552
BD52,61.26812,-163.23489,12.67631
BD50,61.26827,-163.23508,7.12631
BD51,61.26828,-163.23499,4.65631
BM51,61.26829,-163.23494,6.72188
BM49,61.26834,-163.23508,10.56355
BM52,61.26853,-163.23573,5.07188
BD49,61.26854,-163.23529,2.60631
BD17,61.26860,-163.26814,5.41203
BM22,61.26860,-163.26781,8.60046
BD19,61.26861,-163.26782,10.40631
BD18,61.26868,-163.26797,5.54298
BM21,61.26871,-163.26790,6.87188
BM20,61.26875,-163.26788,6.40046
BD20,61.26883,-163.26440,8.84853
BD47,61.26883,-163.23534,8.28086
BM48,61.26973,-163.23608,9.85188
BD39,61.29648,-163.07474,9.10000
BM43,61.29648,-163.07529,15.94966
BD38,61.29656,-163.07457,16.51455
BD40,61.29668,-163.07523,11.40813
BD41,61.29690,-163.07480,18.23881
BM42,61.29695,-163.07388,15.98855
BM44,61.29703,-163.07445,14.20522
BM41,61.29717,-163.07364,16.37188
BM39,61.29766,-163.08742,8.93188
BD36,61.29775,-163.08749,15.02631
BD35,61.29796,-163.08757,10.25298
BM38,61.29830,-163.08759,15.25370
BM37,61.29832,-163.08803,11.95760
BD34,61.29840,-163.08800,11.76917
BM40,61.29846,-163.08629,9.20522
BD37,61.29884,-163.08698,12.16917
BD43,61.30418,-163.05083,17.15131
BM46,61.30424,-163.05147,9.55188
BM45,61.30453,-163.05159,13.87188
BM44,61.30495,-163.05173,9.31188
BD44,61.30512,-163.05109,10.21381
BD42,61.30512,-163.05197,10.09554
BD45,61.30524,-163.05122,8.62631
BD46,61.30524,-163.05125,9.84298